GDAY_DS,T_ID,출장,선발,완투,완봉,승,패,홀드,세,이닝,실점,자책,타자,타수,안타,2타,3타,홈런,볼넷,고4,사구,삼진,투구,WHIP
20200922,HH,4,1,0,0,1,0,2,0,9.0,1,1,33,29,6,0,0,1,3,0,1,5,125,0.00
20200922,HT,4,1,0,0,0,1,0,0,9.0,2,1,35,32,5,1,0,0,3,0,0,3,131,1.00
20200922,KT,4,1,0,0,0,1,0,0,8.0,8,8,36,31,10,0,0,2,5,2,0,5,130,7.00
20200922,LG,4,1,0,0,1,0,1,1,9.0,2,2,32,31,3,0,0,1,1,0,0,9,141,1.50
20200922,LT,3,1,0,0,1,0,0,0,9.0,0,0,30,28,2,0,0,0,2,0,0,10,122,0.00
20200922,NC,4,1,0,0,1,0,0,1,9.0,2,2,34,33,6,0,0,0,1,0,0,11,146,1.50
20200922,OB,4,1,0,0,0,1,0,0,8.0,5,5,35,29,6,0,0,1,4,0,1,16,145,3.00
20200922,SK,4,1,0,0,0,1,0,0,8.0,7,7,35,30,7,1,0,0,5,0,0,5,149,1.67
20200922,SS,6,1,0,0,0,1,3,0,8.0,3,0,36,30,6,1,0,0,4,0,2,4,155,0.60
20200922,WO,3,1,0,0,1,0,1,1,9.0,0,0,33,30,4,0,0,0,3,0,0,8,131,0.00
20200923,HH,6,1,0,0,1,0,3,1,9.0,5,5,43,37,11,5,0,0,5,0,0,6,165,1.20
20200923,HT,4,1,0,0,0,1,0,0,9.0,13,13,48,42,17,3,2,2,4,0,1,6,159,2.75
20200923,KT,6,1,0,0,1,0,2,0,9.0,5,5,41,33,9,1,0,1,8,0,0,7,170,2.00
20200923,LG,3,1,0,0,1,0,1,0,9.0,2,1,36,33,8,3,0,0,1,0,0,10,138,0.43
20200923,LT,6,1,0,0,0,1,0,0,9.0,10,9,46,42,16,3,0,1,3,0,1,5,167,2.46
20200923,NC,5,1,0,0,1,0,0,1,9.0,7,7,39,36,10,2,1,1,2,0,0,11,143,2.00
20200923,OB,5,1,0,0,0,1,0,0,8.0,6,6,38,34,12,3,0,1,2,0,1,13,159,0.82
20200923,SK,3,1,0,0,0,1,0,0,8.0,6,6,33,31,10,2,0,1,1,0,0,6,145,3.00
20200923,SS,6,1,0,0,0,1,0,0,8.0,8,8,36,30,10,1,0,1,5,0,0,7,143,3.75
20200923,WO,4,1,0,0,1,0,0,0,9.0,1,1,34,32,5,0,0,1,1,0,1,7,133,0.00
20200924,HH,4,1,0,0,1,0,0,1,9.0,4,2,38,32,6,0,0,0,5,0,0,5,156,1.67
20200924,HT,5,1,0,0,1,0,1,1,9.0,3,2,37,34,8,2,0,0,3,0,0,11,154,1.13
20200924,KT,7,1,0,0,0,1,0,0,9.0,5,5,46,40,16,4,1,0,5,0,0,3,187,1.64
20200924,LG,6,1,0,0,0,1,1,0,8.0,12,12,45,39,17,4,0,2,3,0,2,4,193,2.25
20200924,LT,6,1,0,0,0,1,0,0,8.0,7,7,41,36,15,4,0,1,3,1,1,8,144,1.80
20200924,NC,6,1,0,0,1,0,0,0,9.0,8,8,42,35,9,1,0,4,7,0,0,11,169,3.00
20200924,OB,3,1,0,0,1,0,0,1,9.0,0,0,34,32,7,1,0,0,2,0,0,8,132,1.00
20200924,SK,4,1,0,0,0,1,0,0,8.0,6,6,36,32,9,1,0,0,2,0,1,7,122,1.20
20200924,SS,4,1,0,0,0,1,0,0,8.0,1,1,33,26,1,0,0,0,5,1,1,5,130,1.00
20200924,WO,3,1,0,0,1,0,0,0,9.0,1,1,33,29,6,1,0,0,4,0,0,8,125,1.50
20200925,HH,6,1,0,0,1,0,0,0,10.0,5,5,42,37,13,0,0,2,3,0,1,6,177,0.86
20200925,HT,5,1,0,0,0,1,0,0,8.0,7,7,40,31,12,1,0,2,7,0,0,1,150,1.88
20200925,KT,3,1,0,0,1,0,1,1,9.0,3,3,40,37,12,2,0,0,3,0,0,4,159,1.00
20200925,LG,4,1,0,0,0,1,0,0,8.0,7,5,42,30,9,2,1,1,6,0,3,10,172,1.09
20200925,LT,7,1,0,0,0,1,2,0,9.2,6,6,48,40,13,2,0,3,6,1,1,7,158,1.67
20200925,NC,4,1,0,0,1,0,0,0,9.0,1,1,36,33,7,0,0,1,3,0,0,7,132,0.43
20200925,OB,4,1,0,0,0,1,0,0,9.0,4,3,34,31,7,0,0,1,2,0,0,7,131,2.00
20200925,SK,7,1,0,0,1,0,0,0,11.0,6,5,50,45,17,4,0,0,4,0,0,11,195,1.60
20200925,SS,4,1,0,0,1,0,2,1,9.0,3,3,36,32,7,1,1,0,2,0,0,6,133,1.00
20200925,WO,10,1,0,0,0,1,0,0,11.0,8,8,48,40,10,3,0,1,7,2,0,6,173,1.60
20200926,HH,5,1,0,0,0,1,0,0,9.0,13,12,51,42,16,1,1,2,9,0,0,7,223,4.71
20200926,HT,3,1,0,0,0,1,0,0,9.0,16,16,50,44,18,7,0,1,4,0,1,5,174,4.33
20200926,KT,8,1,0,0,0,1,0,0,9.0,3,3,39,31,7,1,1,0,6,0,0,3,142,2.00
20200926,LG,7,1,0,0,1,0,0,1,9.0,1,1,36,31,7,2,0,0,4,0,0,5,157,1.80
20200926,LT,5,1,0,0,1,0,0,0,9.0,3,3,40,34,8,1,0,0,5,0,1,7,163,0.55
20200926,NC,3,1,0,0,1,0,0,0,9.0,1,1,37,36,9,2,0,1,1,0,0,7,130,0.00
20200926,OB,3,1,0,0,1,0,0,0,9.0,0,0,32,30,3,1,0,0,2,0,0,9,127,1.00
20200926,SK,5,1,0,0,0,1,0,0,8.0,8,8,38,33,12,1,0,3,4,0,0,3,148,1.88
20200926,SS,3,1,0,0,1,0,0,0,9.0,2,2,36,32,8,0,0,1,2,0,0,10,145,2.40
20200926,WO,3,1,0,0,0,1,0,0,8.0,4,4,35,31,9,2,1,0,2,0,0,3,113,2.00
